"Source Url","Pair","Match Line"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-sabrina-hsu/ (95%);/Users/lord/Documents/2016green32/2016greenironhack3-sabrina-hsu/ (72%)","89"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-tanmayee123/ (19%);/Users/lord/Documents/2016green32/2016greenironhack3-tanmayee123/ (21%)","83"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-tanmayee123/ (18%);/Users/lord/Documents/2016green32/2016greenironhack3-aterriqu/ (34%)","76"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-huayifang/ (49%);/Users/lord/Documents/2016green32/2016greenironhack3-huayifang/ (15%)","60"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-sauravn/ (0%);/Users/lord/Documents/2016green32/2016greenironhack3-ishwetasingh/ (0%)","60"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-MegamindHenry/ (8%);/Users/lord/Documents/2016green32/2016greenironhack3-huayifang/ (15%)","92"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-patrickherrod/ (0%);/Users/lord/Documents/2016green32/2016greenironhack2-sauravn/ (0%)","49"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-lostkuma/ (2%);/Users/lord/Documents/2016green32/2016greenironhack3-sauravn/ (0%)","50"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-sauravn/ (0%);/Users/lord/Documents/2016green32/2016greenironhack3-dengc/ (4%)","78"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-sauravn/ (0%);/Users/lord/Documents/2016green32/2016greenironhack2-dengc/ (6%)","78"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-sauravn/ (0%);/Users/lord/Documents/2016green32/2016greenironhack3-dengc/ (4%)","78"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-sauravn/ (0%);/Users/lord/Documents/2016green32/2016greenironhack2-dengc/ (6%)","78"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-abelal16/ (6%);/Users/lord/Documents/2016green32/2016greenironhack3-taycurt17/ (19%)","55"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-sauravn/ (0%);/Users/lord/Documents/2016green32/2016greenironhack2-ishwetasingh/ (0%)","52"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-ankitbatheja/ (1%);/Users/lord/Documents/2016green32/2016greenironhack3-patrickherrod/ (0%)","18"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-ankitbatheja/ (1%);/Users/lord/Documents/2016green32/2016greenironhack3-patrickherrod/ (0%)","18"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-sauravn/ (0%);/Users/lord/Documents/2016green32/2016greenironhack3-shiboo18/ (36%)","54"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-sauravn/ (0%);/Users/lord/Documents/2016green32/2016greenironhack2-shiboo18/ (36%)","54"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-huayifang/ (12%);/Users/lord/Documents/2016green32/2016greenironhack3-pmittal115/ (6%)","83"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-lostkuma/ (4%);/Users/lord/Documents/2016green32/2016greenironhack3-sauravn/ (0%)","38"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-sauravn/ (0%);/Users/lord/Documents/2016green32/2016greenironhack3-ishwetasingh/ (0%)","41"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-huayifang/ (11%);/Users/lord/Documents/2016green32/2016greenironhack2-dengc/ (5%)","82"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-cgrieger12/ (4%);/Users/lord/Documents/2016green32/2016greenironhack3-dengc/ (3%)","72"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-cgrieger12/ (4%);/Users/lord/Documents/2016green32/2016greenironhack2-dengc/ (5%)","72"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-MegamindHenry/ (6%);/Users/lord/Documents/2016green32/2016greenironhack3-lostkuma/ (1%)","37"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-sauravn/ (0%);/Users/lord/Documents/2016green32/2016greenironhack2-ishwetasingh/ (0%)","38"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-lostkuma/ (1%);/Users/lord/Documents/2016green32/2016greenironhack3-patrickherrod/ (0%)","31"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-lostkuma/ (4%);/Users/lord/Documents/2016green32/2016greenironhack3-patrickherrod/ (0%)","37"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-aterriqu/ (73%);/Users/lord/Documents/2016green32/2016greenironhack3-aterriqu/ (22%)","43"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-cgrieger12/ (3%);/Users/lord/Documents/2016green32/2016greenironhack2-tanmayee123/ (12%)","65"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-abelal16/ (5%);/Users/lord/Documents/2016green32/2016greenironhack2-abelal16/ (90%)","35"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-pmittal115/ (34%);/Users/lord/Documents/2016green32/2016greenironhack3-cgrieger12/ (2%)","43"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-MegamindHenry/ (5%);/Users/lord/Documents/2016green32/2016greenironhack3-huayifang/ (10%)","57"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-pmittal115/ (34%);/Users/lord/Documents/2016green32/2016greenironhack3-abelal16/ (5%)","42"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-cgrieger12/ (3%);/Users/lord/Documents/2016green32/2016greenironhack2-tanmayee123/ (12%)","68"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-MegamindHenry/ (5%);/Users/lord/Documents/2016green32/2016greenironhack3-cgrieger12/ (2%)","42"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-MegamindHenry/ (5%);/Users/lord/Documents/2016green32/2016greenironhack3-lostkuma/ (1%)","31"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-sauravn/ (0%);/Users/lord/Documents/2016green32/2016greenironhack3-taycurt17/ (14%)","49"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-lostkuma/ (3%);/Users/lord/Documents/2016green32/2016greenironhack3-MegamindHenry/ (4%)","29"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-MegamindHenry/ (5%);/Users/lord/Documents/2016green32/2016greenironhack2-lostkuma/ (3%)","29"
