"Source Url","Pair","Match Line"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-MegamindHenry/ (2%);/Users/lord/Documents/2016green21/2016greenironhack2-patrickherrod/ (0%)","13"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-jeffkeilmann/ (97%);/Users/lord/Documents/2016green21/2016greenironhack2-jeffkeilmann/ (97%)","30"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-MegamindHenry/ (2%);/Users/lord/Documents/2016green21/2016greenironhack2-ankitbatheja/ (0%)","11"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-pmittal115/ (13%);/Users/lord/Documents/2016green21/2016greenironhack2-prachitamane/ (8%)","13"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-patrickherrod/ (0%);/Users/lord/Documents/2016green21/2016greenironhack-meetalivaidya/ (14%)","21"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-lostkuma/ (1%);/Users/lord/Documents/2016green21/2016greenironhack2-shiboo18/ (10%)","16"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-lostkuma/ (1%);/Users/lord/Documents/2016green21/2016greenironhack-shiboo18/ (10%)","16"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-lostkuma/ (1%);/Users/lord/Documents/2016green21/2016greenironhack2-pmittal115/ (12%)","17"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-ankitbatheja/ (0%);/Users/lord/Documents/2016green21/2016greenironhack2-taycurt17/ (8%)","31"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-sauravn/ (0%);/Users/lord/Documents/2016green21/2016greenironhack2-taycurt17/ (8%)","14"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-sauravn/ (0%);/Users/lord/Documents/2016green21/2016greenironhack2-prachitamane/ (8%)","10"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-patrickherrod/ (0%);/Users/lord/Documents/2016green21/2016greenironhack2-dengc/ (1%)","12"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-huayifang/ (11%);/Users/lord/Documents/2016green21/2016greenironhack2-wluan/ (12%)","32"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-prachitamane/ (51%);/Users/lord/Documents/2016green21/2016greenironhack2-wluan/ (12%)","16"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-MegamindHenry/ (1%);/Users/lord/Documents/2016green21/2016greenironhack2-pmittal115/ (11%)","18"
