"Source Url","Pair","Match Line"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-huayifang/ (10%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-sauravn/ (0%)","11"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-ankitbatheja/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-shiboo18/ (9%)","15"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-lostkuma/ (1%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-meetalivaidya/ (7%)","16"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-dengc/ (1%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-pjt90/ (6%)","18"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-ankitbatheja/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-pmittal115/ (9%)","15"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-patrickherrod/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-meetalivaidya/ (6%)","11"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-abelal16/ (23%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-meetalivaidya/ (6%)","12"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-prachitamane/ (5%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-tanmayee123/ (3%)","13"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-MegamindHenry/ (1%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-pjt90/ (6%)","11"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-shiboo18/ (7%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-taycurt17/ (5%)","13"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-huayifang/ (8%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-pmittal115/ (8%)","9"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-prachitamane/ (5%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-wluan/ (9%)","9"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-lostkuma/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-taycurt17/ (5%)","15"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-huayifang/ (7%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-pjt90/ (5%)","15"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-ankitbatheja/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-huayifang/ (7%)","7"
