"Source Url","Pair","Match Line"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-tanmayee123/ (9%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-taycurt17/ (10%)","33"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-patrickherrod/ (0%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-pmittal115/ (3%)","31"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-ankitbatheja/ (0%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-huayifang/ (6%)","25"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-ankitbatheja/ (0%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-sauravn/ (0%)","32"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-lostkuma/ (0%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-taycurt17/ (9%)","36"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-aterriqu/ (13%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-taycurt17/ (9%)","26"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-MegamindHenry/ (3%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-prachitamane/ (12%)","28"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-ankitbatheja/ (0%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-ishwetasingh/ (0%)","6"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-aterriqu/ (12%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-tanmayee123/ (7%)","28"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-shiboo18/ (15%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-taycurt17/ (8%)","31"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-pmittal115/ (2%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-wluan/ (12%)","32"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-pmittal115/ (2%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-aterriqu/ (11%)","32"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-pmittal115/ (2%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-taycurt17/ (7%)","24"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-patrickherrod/ (0%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-shiboo18/ (14%)","21"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-meetalivaidya/ (9%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-tanmayee123/ (6%)","31"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-huayifang/ (4%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-sauravn/ (0%)","18"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-lostkuma/ (0%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-meetalivaidya/ (8%)","20"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-patrickherrod/ (0%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-meetalivaidya/ (7%)","17"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-MegamindHenry/ (2%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-ankitbatheja/ (0%)","11"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-huayifang/ (3%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-lostkuma/ (0%)","14"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-abelal16/ (2%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-huayifang/ (3%)","17"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-lostkuma/ (0%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-shiboo18/ (10%)","16"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-dengc/ (1%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-wluan/ (8%)","20"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-ankitbatheja/ (0%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-cgrieger12/ (1%)","17"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-ankitbatheja/ (0%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-taycurt17/ (5%)","31"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-crloflin/ (25%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-taycurt17/ (5%)","18"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-sauravn/ (0%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-meetalivaidya/ (6%)","12"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-patrickherrod/ (0%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-dengc/ (1%)","22"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-huayifang/ (3%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-pjt90/ (7%)","23"
